asset,XAUUSD
date,2026-05-29
n_prior_sessions,41
last_bar_date,2026-05-28
prev_close_full,4495.71
prev_open_full,4463.13
prev_high_full,4516.58
prev_low_full,4366.35
atr14_full,102.1993
rsi2_full,43.4572
d_full_P,4459.5467
d_full_R1,4552.7433
d_full_S1,4402.5133
d_full_R2,4609.7767
d_full_S2,4309.3167
d_full_R3,4702.9733
d_full_S3,4252.2833
prev_open_cash,4428.51
prev_high_cash,4516.58
prev_low_cash,4418.23
prev_close_cash,4497.98
atr14_cash,77.495
rsi2_cash,44.8115
d_cash_P,4477.5967
d_cash_R1,4536.9633
d_cash_S1,4438.6133
d_cash_R2,4575.9467
d_cash_S2,4379.2467
d_cash_R3,4635.3133
d_cash_S3,4340.2633
w_full_period,2026-W21
w_full_P,4516.4567
w_full_R1,4579.2833
w_full_S1,4443.9033
w_full_R2,4651.8367
w_full_S2,4381.0767
w_full_R3,4714.6633
w_full_S3,4308.5233
w_cash_period,2026-W21
w_cash_P,4519.18
w_cash_R1,4573.41
w_cash_S1,4454.09
w_cash_R2,4638.5
w_cash_S2,4399.86
w_cash_R3,4692.73
w_cash_S3,4334.77
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4580.13
swing_low_5d_full,4366.35
swing_high_25d_full,4773.37
swing_low_25d_full,4366.35
swing_high_5d_cash,4577.75
swing_low_5d_cash,4404.78
swing_high_25d_cash,4764.75
swing_low_25d_cash,4404.78
