asset,XAUUSD
date,2026-06-23
n_prior_sessions,58
last_bar_date,2026-06-22
prev_close_full,4191.39
prev_open_full,4149.03
prev_high_full,4220.62
prev_low_full,4136.48
atr14_full,119.7
rsi2_full,40.018
d_full_P,4182.83
d_full_R1,4229.18
d_full_S1,4145.04
d_full_R2,4266.97
d_full_S2,4098.69
d_full_R3,4313.32
d_full_S3,4060.9
prev_open_cash,4186.98
prev_high_cash,4210.71
prev_low_cash,4169.9
prev_close_cash,4190.65
atr14_cash,101.4886
rsi2_cash,36.2993
d_cash_P,4190.42
d_cash_R1,4210.94
d_cash_S1,4170.13
d_cash_R2,4231.23
d_cash_S2,4149.61
d_cash_R3,4251.75
d_cash_S3,4129.32
w_full_period,2026-W25
w_full_P,4219.9633
w_full_R1,4318.0267
w_full_S1,4057.7067
w_full_R2,4480.2833
w_full_S2,3959.6433
w_full_R3,4578.3467
w_full_S3,3797.3867
w_cash_period,2026-W25
w_cash_P,4226.8667
w_cash_R1,4311.1233
w_cash_S1,4071.5133
w_cash_R2,4466.4767
w_cash_S2,3987.2567
w_cash_R3,4550.7333
w_cash_S3,3831.9033
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4382.22
swing_low_5d_full,4121.9
swing_high_25d_full,4595.21
swing_low_25d_full,4023.91
swing_high_5d_cash,4382.22
swing_low_5d_cash,4142.61
swing_high_25d_cash,4595.21
swing_low_25d_cash,4053.03
