asset,XAUUSD
date,2026-06-09
n_prior_sessions,48
last_bar_date,2026-06-08
prev_close_full,4329.93
prev_open_full,4328.48
prev_high_full,4353.35
prev_low_full,4268.65
atr14_full,98.6229
rsi2_full,1.4877
d_full_P,4317.31
d_full_R1,4365.97
d_full_S1,4281.27
d_full_R2,4402.01
d_full_S2,4232.61
d_full_R3,4450.67
d_full_S3,4196.57
prev_open_cash,4331.33
prev_high_cash,4346.71
prev_low_cash,4314.82
prev_close_cash,4326.68
atr14_cash,80.6857
rsi2_cash,4.6328
d_cash_P,4329.4033
d_cash_R1,4343.9867
d_cash_S1,4312.0967
d_cash_R2,4361.2933
d_cash_S2,4297.5133
d_cash_R3,4375.8767
d_cash_S3,4280.2067
w_full_period,2026-W23
w_full_P,4395.13
w_full_R1,4478.44
w_full_S1,4244.39
w_full_R2,4629.18
w_full_S2,4161.08
w_full_R3,4712.49
w_full_S3,4010.34
w_cash_period,2026-W23
w_cash_P,4382.7433
w_cash_R1,4451.5167
w_cash_S1,4250.0467
w_cash_R2,4584.2133
w_cash_S2,4181.2733
w_cash_R3,4652.9867
w_cash_S3,4048.5767
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4541.57
swing_low_5d_full,4268.65
swing_high_25d_full,4773.37
swing_low_25d_full,4268.65
swing_high_5d_cash,4515.44
swing_low_5d_cash,4313.97
swing_high_25d_cash,4764.75
swing_low_25d_cash,4313.97
