asset,XAUUSD
date,2026-05-25
n_prior_sessions,37
last_bar_date,2026-05-22
prev_close_full,4506.73
prev_open_full,4542.05
prev_high_full,4546.04
prev_low_full,4492.01
atr14_full,98.6457
rsi2_full,0.0
d_full_P,4514.9267
d_full_R1,4537.8433
d_full_S1,4483.8133
d_full_R2,4568.9567
d_full_S2,4460.8967
d_full_R3,4591.8733
d_full_S3,4429.7833
prev_open_cash,4522.08
prev_high_cash,4527.72
prev_low_cash,4492.01
prev_close_cash,4508.32
atr14_cash,77.1957
rsi2_cash,0.0
d_cash_P,4509.35
d_cash_R1,4526.69
d_cash_S1,4490.98
d_cash_R2,4545.06
d_cash_S2,4473.64
d_cash_R3,4562.4
d_cash_S3,4455.27
w_full_period,2026-W21
w_full_P,4516.4567
w_full_R1,4579.2833
w_full_S1,4443.9033
w_full_R2,4651.8367
w_full_S2,4381.0767
w_full_R3,4714.6633
w_full_S3,4308.5233
w_cash_period,2026-W21
w_cash_P,4519.18
w_cash_R1,4573.41
w_cash_S1,4454.09
w_cash_R2,4638.5
w_cash_S2,4399.86
w_cash_R3,4692.73
w_cash_S3,4334.77
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4589.01
swing_low_5d_full,4453.63
swing_high_25d_full,4833.05
swing_low_25d_full,4453.63
swing_high_5d_cash,4584.27
swing_low_5d_cash,4464.95
swing_high_25d_cash,4827.7
swing_low_25d_cash,4464.95
