asset,XAUUSD
date,2026-07-03
n_prior_sessions,66
last_bar_date,2026-07-02
prev_close_full,4123.79
prev_open_full,4033.74
prev_high_full,4143.94
prev_low_full,4030.72
atr14_full,114.3221
rsi2_full,100.0
d_full_P,4099.4833
d_full_R1,4168.2467
d_full_S1,4055.0267
d_full_R2,4212.7033
d_full_S2,3986.2633
d_full_R3,4281.4667
d_full_S3,3941.8067
prev_open_cash,4113.1
prev_high_cash,4143.94
prev_low_cash,4100.46
prev_close_cash,4121.29
atr14_cash,88.8464
rsi2_cash,100.0
d_cash_P,4121.8967
d_cash_R1,4143.3333
d_cash_S1,4099.8533
d_cash_R2,4165.3767
d_cash_S2,4078.4167
d_cash_R3,4186.8133
d_cash_S3,4056.3733
w_full_period,2026-W26
w_full_P,4086.99
w_full_R1,4214.85
w_full_S1,3953.36
w_full_R2,4348.48
w_full_S2,3825.5
w_full_R3,4476.34
w_full_S3,3691.87
w_cash_period,2026-W26
w_cash_P,4080.47
w_cash_R1,4201.81
w_cash_S1,3950.23
w_cash_R2,4332.05
w_cash_S2,3828.89
w_cash_R3,4453.39
w_cash_S3,3698.65
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4143.94
swing_low_5d_full,3943.08
swing_high_25d_full,4595.21
swing_low_25d_full,3943.08
swing_high_5d_cash,4143.94
swing_low_5d_cash,4000.66
swing_high_25d_cash,4595.21
swing_low_25d_cash,3959.13
