asset,XAUUSD
date,2026-06-08
n_prior_sessions,47
last_bar_date,2026-06-05
prev_close_full,4327.7
prev_open_full,4473.69
prev_high_full,4481.46
prev_low_full,4311.82
atr14_full,101.4343
rsi2_full,21.6854
d_full_P,4373.66
d_full_R1,4435.5
d_full_S1,4265.86
d_full_R2,4543.3
d_full_S2,4204.02
d_full_R3,4605.14
d_full_S3,4096.22
prev_open_cash,4404.8
prev_high_cash,4409.48
prev_low_cash,4313.97
prev_close_cash,4318.82
atr14_cash,85.1014
rsi2_cash,18.5297
d_cash_P,4347.4233
d_cash_R1,4380.8767
d_cash_S1,4285.3667
d_cash_R2,4442.9333
d_cash_S2,4251.9133
d_cash_R3,4476.3867
d_cash_S3,4189.8567
w_full_period,2026-W23
w_full_P,4395.13
w_full_R1,4478.44
w_full_S1,4244.39
w_full_R2,4629.18
w_full_S2,4161.08
w_full_R3,4712.49
w_full_S3,4010.34
w_cash_period,2026-W23
w_cash_P,4382.7433
w_cash_R1,4451.5167
w_cash_S1,4250.0467
w_cash_R2,4584.2133
w_cash_S2,4181.2733
w_cash_R3,4652.9867
w_cash_S3,4048.5767
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4545.87
swing_low_5d_full,4311.82
swing_high_25d_full,4773.37
swing_low_25d_full,4311.82
swing_high_5d_cash,4515.44
swing_low_5d_cash,4313.97
swing_high_25d_cash,4764.75
swing_low_25d_cash,4313.97
