asset,XAUUSD
date,2026-06-19
n_prior_sessions,56
last_bar_date,2026-06-18
prev_close_full,4209.16
prev_open_full,4257.19
prev_high_full,4329.82
prev_low_full,4201.65
atr14_full,119.7786
rsi2_full,0.0
d_full_P,4246.8767
d_full_R1,4292.1033
d_full_S1,4163.9333
d_full_R2,4375.0467
d_full_S2,4118.7067
d_full_R3,4420.2733
d_full_S3,4035.7633
prev_open_cash,4263.19
prev_high_cash,4276.67
prev_low_cash,4201.65
prev_close_cash,4216.98
atr14_cash,101.7936
rsi2_cash,0.0
d_cash_P,4231.7667
d_cash_R1,4261.8833
d_cash_S1,4186.8633
d_cash_R2,4306.7867
d_cash_S2,4156.7467
d_cash_R3,4336.9033
d_cash_S3,4111.8433
w_full_period,2026-W24
w_full_P,4201.48
w_full_R1,4379.05
w_full_S1,4039.42
w_full_R2,4541.11
w_full_S2,3861.85
w_full_R3,4718.68
w_full_S3,3699.79
w_cash_period,2026-W24
w_cash_P,4209.1067
w_cash_R1,4365.1833
w_cash_S1,4054.6733
w_cash_R2,4519.6167
w_cash_S2,3898.5967
w_cash_R3,4675.6933
w_cash_S3,3744.1633
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4382.22
swing_low_5d_full,4170.25
swing_high_25d_full,4665.4
swing_low_25d_full,4023.91
swing_high_5d_cash,4382.22
swing_low_5d_cash,4177.15
swing_high_25d_cash,4595.21
swing_low_25d_cash,4053.03
