asset,XAUUSD
date,2026-07-02
n_prior_sessions,65
last_bar_date,2026-07-01
prev_close_full,4031.08
prev_open_full,4012.31
prev_high_full,4115.53
prev_low_full,3960.17
atr14_full,111.6736
rsi2_full,72.0994
d_full_P,4035.5933
d_full_R1,4111.0167
d_full_S1,3955.6567
d_full_R2,4190.9533
d_full_S2,3880.2333
d_full_R3,4266.3767
d_full_S3,3800.2967
prev_open_cash,4047.26
prev_high_cash,4115.53
prev_low_cash,4034.58
prev_close_cash,4038.8
atr14_cash,85.5136
rsi2_cash,100.0
d_cash_P,4062.97
d_cash_R1,4091.36
d_cash_S1,4010.41
d_cash_R2,4143.92
d_cash_S2,3982.02
d_cash_R3,4172.31
d_cash_S3,3929.46
w_full_period,2026-W26
w_full_P,4086.99
w_full_R1,4214.85
w_full_S1,3953.36
w_full_R2,4348.48
w_full_S2,3825.5
w_full_R3,4476.34
w_full_S3,3691.87
w_cash_period,2026-W26
w_cash_P,4080.47
w_cash_R1,4201.81
w_cash_S1,3950.23
w_cash_R2,4332.05
w_cash_S2,3828.89
w_cash_R3,4453.39
w_cash_S3,3698.65
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4115.53
swing_low_5d_full,3943.08
swing_high_25d_full,4595.21
swing_low_25d_full,3943.08
swing_high_5d_cash,4115.53
swing_low_5d_cash,3999.17
swing_high_25d_cash,4595.21
swing_low_25d_cash,3959.13
