asset,XAUUSD
date,2026-05-22
n_prior_sessions,36
last_bar_date,2026-05-21
prev_close_full,4543.25
prev_open_full,4546.66
prev_high_full,4570.76
prev_low_full,4488.75
atr14_full,103.9786
rsi2_full,99.1644
d_full_P,4534.2533
d_full_R1,4579.7567
d_full_S1,4497.7467
d_full_R2,4616.2633
d_full_S2,4452.2433
d_full_R3,4661.7667
d_full_S3,4415.7367
prev_open_cash,4500.48
prev_high_cash,4559.23
prev_low_cash,4488.75
prev_close_cash,4542.94
atr14_cash,81.3821
rsi2_cash,95.6056
d_cash_P,4530.3067
d_cash_R1,4571.8633
d_cash_S1,4501.3833
d_cash_R2,4600.7867
d_cash_S2,4459.8267
d_cash_R3,4642.3433
d_cash_S3,4430.9033
w_full_period,2026-W20
w_full_P,4607.8533
w_full_R1,4703.9667
w_full_S1,4442.3367
w_full_R2,4869.4833
w_full_S2,4346.2233
w_full_R3,4965.5967
w_full_S3,4180.7067
w_cash_period,2026-W20
w_cash_P,4602.1
w_cash_R1,4692.46
w_cash_S1,4455.7
w_cash_R2,4838.86
w_cash_S2,4365.34
w_cash_R3,4929.22
w_cash_S3,4218.94
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4665.4
swing_low_5d_full,4453.63
swing_high_25d_full,4889.2
swing_low_25d_full,4453.63
swing_high_5d_cash,4584.27
swing_low_5d_cash,4464.95
swing_high_25d_cash,4885.53
swing_low_25d_cash,4464.95
