asset,XAUUSD
date,2026-06-25
n_prior_sessions,60
last_bar_date,2026-06-24
prev_close_full,3999.13
prev_open_full,4113.01
prev_high_full,4115.19
prev_low_full,3959.13
atr14_full,126.975
rsi2_full,0.0
d_full_P,4024.4833
d_full_R1,4089.8367
d_full_S1,3933.7767
d_full_R2,4180.5433
d_full_S2,3868.4233
d_full_R3,4245.8967
d_full_S3,3777.7167
prev_open_cash,3975.5
prev_high_cash,4041.87
prev_low_cash,3959.13
prev_close_cash,3988.31
atr14_cash,108.6286
rsi2_cash,0.0
d_cash_P,3996.4367
d_cash_R1,4033.7433
d_cash_S1,3951.0033
d_cash_R2,4079.1767
d_cash_S2,3913.6967
d_cash_R3,4116.4833
d_cash_S3,3868.2633
w_full_period,2026-W25
w_full_P,4219.9633
w_full_R1,4318.0267
w_full_S1,4057.7067
w_full_R2,4480.2833
w_full_S2,3959.6433
w_full_R3,4578.3467
w_full_S3,3797.3867
w_cash_period,2026-W25
w_cash_P,4226.8667
w_cash_R1,4311.1233
w_cash_S1,4071.5133
w_cash_R2,4466.4767
w_cash_S2,3987.2567
w_cash_R3,4550.7333
w_cash_S3,3831.9033
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4329.82
swing_low_5d_full,3959.13
swing_high_25d_full,4595.21
swing_low_25d_full,3959.13
swing_high_5d_cash,4276.67
swing_low_5d_cash,3959.13
swing_high_25d_cash,4595.21
swing_low_25d_cash,3959.13
