asset,XAUUSD
date,2026-06-05
n_prior_sessions,46
last_bar_date,2026-06-04
prev_close_full,4475.37
prev_open_full,4436.73
prev_high_full,4515.44
prev_low_full,4423.98
atr14_full,96.7436
rsi2_full,43.3294
d_full_P,4471.5967
d_full_R1,4519.2133
d_full_S1,4427.7533
d_full_R2,4563.0567
d_full_S2,4380.1367
d_full_R3,4610.6733
d_full_S3,4336.2933
prev_open_cash,4504.74
prev_high_cash,4515.44
prev_low_cash,4457.36
prev_close_cash,4480.62
atr14_cash,76.9186
rsi2_cash,45.4714
d_cash_P,4484.4733
d_cash_R1,4511.5867
d_cash_S1,4453.5067
d_cash_R2,4542.5533
d_cash_S2,4426.3933
d_cash_R3,4569.6667
d_cash_S3,4395.4267
w_full_period,2026-W22
w_full_P,4500.5167
w_full_R1,4634.6833
w_full_S1,4405.8233
w_full_R2,4729.3767
w_full_S2,4271.6567
w_full_R3,4863.5433
w_full_S3,4176.9633
w_cash_period,2026-W22
w_cash_P,4515.1967
w_cash_R1,4625.6133
w_cash_S1,4435.1833
w_cash_R2,4705.6267
w_cash_S2,4324.7667
w_cash_R3,4816.0433
w_cash_S3,4244.7533
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4595.21
swing_low_5d_full,4423.98
swing_high_25d_full,4773.37
swing_low_25d_full,4366.35
swing_high_5d_cash,4595.21
swing_low_5d_cash,4426.49
swing_high_25d_cash,4764.75
swing_low_25d_cash,4404.78
