asset,XAUUSD
date,2026-07-31
n_prior_sessions,86
last_bar_date,2026-07-30
prev_close_full,4103.61
prev_open_full,4071.3
prev_high_full,4120.08
prev_low_full,4028.56
atr14_full,86.8829
rsi2_full,100.0
d_full_P,4084.0833
d_full_R1,4139.6067
d_full_S1,4048.0867
d_full_R2,4175.6033
d_full_S2,3992.5633
d_full_R3,4231.1267
d_full_S3,3956.5667
prev_open_cash,4080.19
prev_high_cash,4120.08
prev_low_cash,4074.93
prev_close_cash,4112.12
atr14_cash,74.4186
rsi2_cash,100.0
d_cash_P,4102.3767
d_cash_R1,4129.8233
d_cash_S1,4084.6733
d_cash_R2,4147.5267
d_cash_S2,4057.2267
d_cash_R3,4174.9733
d_cash_S3,4039.5233
w_full_period,2026-W30
w_full_P,4067.44
w_full_R1,4152.1
w_full_S1,3968.81
w_full_R2,4250.73
w_full_S2,3884.15
w_full_R3,4335.39
w_full_S3,3785.52
w_cash_period,2026-W30
w_cash_P,4072.7133
w_cash_R1,4147.1667
w_cash_S1,3979.3567
w_cash_R2,4240.5233
w_cash_S2,3904.9033
w_cash_R3,4314.9767
w_cash_S3,3811.5467
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4120.08
swing_low_5d_full,3995.94
swing_high_25d_full,4202.71
swing_low_25d_full,3943.08
swing_high_5d_cash,4120.08
swing_low_5d_cash,3995.94
swing_high_25d_cash,4180.52
swing_low_25d_cash,3963.9
