asset,XAUUSD
date,2026-06-11
n_prior_sessions,50
last_bar_date,2026-06-10
prev_close_full,4071.46
prev_open_full,4255.33
prev_high_full,4257.47
prev_low_full,4067.1
atr14_full,108.475
rsi2_full,0.0
d_full_P,4132.01
d_full_R1,4196.92
d_full_S1,4006.55
d_full_R2,4322.38
d_full_S2,3941.64
d_full_R3,4387.29
d_full_S3,3816.18
prev_open_cash,4150.16
prev_high_cash,4186.26
prev_low_cash,4081.73
prev_close_cash,4082.95
atr14_cash,91.2407
rsi2_cash,0.0
d_cash_P,4116.98
d_cash_R1,4152.23
d_cash_S1,4047.7
d_cash_R2,4221.51
d_cash_S2,4012.45
d_cash_R3,4256.76
d_cash_S3,3943.17
w_full_period,2026-W23
w_full_P,4395.13
w_full_R1,4478.44
w_full_S1,4244.39
w_full_R2,4629.18
w_full_S2,4161.08
w_full_R3,4712.49
w_full_S3,4010.34
w_cash_period,2026-W23
w_cash_P,4382.7433
w_cash_R1,4451.5167
w_cash_S1,4250.0467
w_cash_R2,4584.2133
w_cash_S2,4181.2733
w_cash_R3,4652.9867
w_cash_S3,4048.5767
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4515.44
swing_low_5d_full,4067.1
swing_high_25d_full,4773.37
swing_low_25d_full,4067.1
swing_high_5d_cash,4515.44
swing_low_5d_cash,4081.73
swing_high_25d_cash,4764.75
swing_low_25d_cash,4081.73
