asset,XAUUSD
date,2026-05-21
n_prior_sessions,35
last_bar_date,2026-05-20
prev_close_full,4543.77
prev_open_full,4481.68
prev_high_full,4552.67
prev_low_full,4453.63
atr14_full,105.2621
rsi2_full,42.3251
d_full_P,4516.69
d_full_R1,4579.75
d_full_S1,4480.71
d_full_R2,4615.73
d_full_S2,4417.65
d_full_R3,4678.79
d_full_S3,4381.67
prev_open_cash,4489.45
prev_high_cash,4552.67
prev_low_cash,4467.19
prev_close_cash,4545.81
atr14_cash,81.6186
rsi2_cash,45.3351
d_cash_P,4521.89
d_cash_R1,4576.59
d_cash_S1,4491.11
d_cash_R2,4607.37
d_cash_S2,4436.41
d_cash_R3,4662.07
d_cash_S3,4405.63
w_full_period,2026-W20
w_full_P,4607.8533
w_full_R1,4703.9667
w_full_S1,4442.3367
w_full_R2,4869.4833
w_full_S2,4346.2233
w_full_R3,4965.5967
w_full_S3,4180.7067
w_cash_period,2026-W20
w_cash_P,4602.1
w_cash_R1,4692.46
w_cash_S1,4455.7
w_cash_R2,4838.86
w_cash_S2,4365.34
w_cash_R3,4929.22
w_cash_S3,4218.94
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4718.75
swing_low_5d_full,4453.63
swing_high_25d_full,4889.2
swing_low_25d_full,4453.63
swing_high_5d_cash,4700.77
swing_low_5d_cash,4464.95
swing_high_25d_cash,4885.53
swing_low_25d_cash,4464.95
