asset,XAUUSD
date,2026-05-20
n_prior_sessions,34
last_bar_date,2026-05-19
prev_close_full,4482.06
prev_open_full,4568.95
prev_high_full,4589.01
prev_low_full,4464.95
atr14_full,105.8864
rsi2_full,24.7786
d_full_P,4512.0067
d_full_R1,4559.0633
d_full_S1,4435.0033
d_full_R2,4636.0667
d_full_S2,4387.9467
d_full_R3,4683.1233
d_full_S3,4310.9433
prev_open_cash,4492.22
prev_high_cash,4514.06
prev_low_cash,4464.95
prev_close_cash,4483.37
atr14_cash,81.78
rsi2_cash,14.3361
d_cash_P,4487.46
d_cash_R1,4509.97
d_cash_S1,4460.86
d_cash_R2,4536.57
d_cash_S2,4438.35
d_cash_R3,4559.08
d_cash_S3,4411.75
w_full_period,2026-W20
w_full_P,4607.8533
w_full_R1,4703.9667
w_full_S1,4442.3367
w_full_R2,4869.4833
w_full_S2,4346.2233
w_full_R3,4965.5967
w_full_S3,4180.7067
w_cash_period,2026-W20
w_cash_P,4602.1
w_cash_R1,4692.46
w_cash_S1,4455.7
w_cash_R2,4838.86
w_cash_S2,4365.34
w_cash_R3,4929.22
w_cash_S3,4218.94
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4726.77
swing_low_5d_full,4464.95
swing_high_25d_full,4889.2
swing_low_25d_full,4464.95
swing_high_5d_cash,4709.73
swing_low_5d_cash,4464.95
swing_high_25d_cash,4885.53
swing_low_25d_cash,4464.95
