asset,XAUUSD
date,2026-05-27
n_prior_sessions,39
last_bar_date,2026-05-26
prev_close_full,4507.58
prev_open_full,4571.97
prev_high_full,4580.13
prev_low_full,4482.53
atr14_full,93.0029
rsi2_full,50.3332
d_full_P,4523.4133
d_full_R1,4564.2967
d_full_S1,4466.6967
d_full_R2,4621.0133
d_full_S2,4425.8133
d_full_R3,4661.8967
d_full_S3,4369.0967
prev_open_cash,4522.4
prev_high_cash,4531.26
prev_low_cash,4482.53
prev_close_cash,4508.88
atr14_cash,71.9164
rsi2_cash,50.2246
d_cash_P,4507.5567
d_cash_R1,4532.5833
d_cash_S1,4483.8533
d_cash_R2,4556.2867
d_cash_S2,4458.8267
d_cash_R3,4581.3133
d_cash_S3,4435.1233
w_full_period,2026-W21
w_full_P,4516.4567
w_full_R1,4579.2833
w_full_S1,4443.9033
w_full_R2,4651.8367
w_full_S2,4381.0767
w_full_R3,4714.6633
w_full_S3,4308.5233
w_cash_period,2026-W21
w_cash_P,4519.18
w_cash_R1,4573.41
w_cash_S1,4454.09
w_cash_R2,4638.5
w_cash_S2,4399.86
w_cash_R3,4692.73
w_cash_S3,4334.77
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4580.13
swing_low_5d_full,4453.63
swing_high_25d_full,4773.37
swing_low_25d_full,4453.63
swing_high_5d_cash,4577.75
swing_low_5d_cash,4467.19
swing_high_25d_cash,4764.75
swing_low_25d_cash,4464.95
