asset,XAUUSD
date,2026-06-29
n_prior_sessions,62
last_bar_date,2026-06-26
prev_close_full,4081.22
prev_open_full,4028.75
prev_high_full,4096.07
prev_low_full,3983.14
atr14_full,122.6664
rsi2_full,100.0
d_full_P,4053.4767
d_full_R1,4123.8133
d_full_S1,4010.8833
d_full_R2,4166.4067
d_full_S2,3940.5467
d_full_R3,4236.7433
d_full_S3,3897.9533
prev_open_cash,4057.19
prev_high_cash,4096.07
prev_low_cash,4045.08
prev_close_cash,4071.57
atr14_cash,103.3971
rsi2_cash,100.0
d_cash_P,4070.9067
d_cash_R1,4096.7333
d_cash_S1,4045.7433
d_cash_R2,4121.8967
d_cash_S2,4019.9167
d_cash_R3,4147.7233
d_cash_S3,3994.7533
w_full_period,2026-W26
w_full_P,4086.99
w_full_R1,4214.85
w_full_S1,3953.36
w_full_R2,4348.48
w_full_S2,3825.5
w_full_R3,4476.34
w_full_S3,3691.87
w_cash_period,2026-W26
w_cash_P,4080.47
w_cash_R1,4201.81
w_cash_S1,3950.23
w_cash_R2,4332.05
w_cash_S2,3828.89
w_cash_R3,4453.39
w_cash_S3,3698.65
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4220.62
swing_low_5d_full,3959.13
swing_high_25d_full,4595.21
swing_low_25d_full,3959.13
swing_high_5d_cash,4210.71
swing_low_5d_cash,3959.13
swing_high_25d_cash,4595.21
swing_low_25d_cash,3959.13
