asset,XAUUSD
date,2026-07-17
n_prior_sessions,76
last_bar_date,2026-07-16
prev_close_full,3976.47
prev_open_full,4064.25
prev_high_full,4065.5
prev_low_full,3969.3
atr14_full,98.645
rsi2_full,8.2057
d_full_P,4003.7567
d_full_R1,4038.2133
d_full_S1,3942.0133
d_full_R2,4099.9567
d_full_S2,3907.5567
d_full_R3,4134.4133
d_full_S3,3845.8133
prev_open_cash,4005.56
prev_high_cash,4016.84
prev_low_cash,3969.3
prev_close_cash,3979.94
atr14_cash,76.9779
rsi2_cash,1.608
d_cash_P,3988.6933
d_cash_R1,4008.0867
d_cash_S1,3960.5467
d_cash_R2,4036.2333
d_cash_S2,3941.1533
d_cash_R3,4055.6267
d_cash_S3,3913.0067
w_full_period,2026-W28
w_full_P,4114.5633
w_full_R1,4207.3767
w_full_S1,4026.4167
w_full_R2,4295.5233
w_full_S2,3933.6033
w_full_R3,4388.3367
w_full_S3,3845.4567
w_cash_period,2026-W28
w_cash_P,4103.59
w_cash_R1,4185.43
w_cash_S1,4026.66
w_cash_R2,4262.36
w_cash_S2,3944.82
w_cash_R3,4344.2
w_cash_S3,3867.89
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4134.83
swing_low_5d_full,3969.3
swing_high_25d_full,4382.22
swing_low_25d_full,3943.08
swing_high_5d_cash,4115.52
swing_low_5d_cash,3969.3
swing_high_25d_cash,4382.22
swing_low_25d_cash,3959.13
