asset,XAUUSD
date,2026-05-13
n_prior_sessions,29
last_bar_date,2026-05-12
prev_close_full,4715.24
prev_open_full,4739.42
prev_high_full,4773.37
prev_low_full,4638.24
atr14_full,103.6121
rsi2_full,49.7428
d_full_P,4708.95
d_full_R1,4779.66
d_full_S1,4644.53
d_full_R2,4844.08
d_full_S2,4573.82
d_full_R3,4914.79
d_full_S3,4509.4
prev_open_cash,4690.68
prev_high_cash,4715.61
prev_low_cash,4638.24
prev_close_cash,4715.61
atr14_cash,82.0964
rsi2_cash,35.036
d_cash_P,4689.82
d_cash_R1,4741.4
d_cash_S1,4664.03
d_cash_R2,4767.19
d_cash_S2,4612.45
d_cash_R3,4818.77
d_cash_S3,4586.66
w_full_period,2026-W19
w_full_P,4660.2833
w_full_R1,4819.9067
w_full_S1,4555.8167
w_full_R2,4924.3733
w_full_S2,4396.1933
w_full_R3,5083.9967
w_full_S3,4291.7267
w_cash_period,2026-W19
w_cash_P,4663.1133
w_cash_R1,4825.5667
w_cash_S1,4561.4767
w_cash_R2,4927.2033
w_cash_S2,4399.0233
w_cash_R3,5089.6567
w_cash_S3,4297.3867
m_full_period,2026-04
m_full_P,4673.69
m_full_R1,4837.19
m_full_S1,4458.18
m_full_R2,5052.7
m_full_S2,4294.68
m_full_R3,5216.2
m_full_S3,4079.17
m_cash_period,2026-04
m_cash_P,4670.91
m_cash_R1,4831.63
m_cash_S1,4456.29
m_cash_R2,5046.25
m_cash_S2,4295.57
m_cash_R3,5206.97
m_cash_S3,4080.95
swing_high_5d_full,4773.37
swing_low_5d_full,4546.28
swing_high_25d_full,4889.2
swing_low_25d_full,4500.66
swing_high_5d_cash,4764.75
swing_low_5d_cash,4638.24
swing_high_25d_cash,4885.53
swing_low_25d_cash,4500.66
