asset,XAUUSD
date,2026-07-15
n_prior_sessions,74
last_bar_date,2026-07-14
prev_close_full,4052.87
prev_open_full,4005.29
prev_high_full,4103.17
prev_low_full,3983.65
atr14_full,101.0786
rsi2_full,30.5007
d_full_P,4046.5633
d_full_R1,4109.4767
d_full_S1,3989.9567
d_full_R2,4166.0833
d_full_S2,3927.0433
d_full_R3,4228.9967
d_full_S3,3870.4367
prev_open_cash,4081.57
prev_high_cash,4100.62
prev_low_cash,4042.83
prev_close_cash,4055.78
atr14_cash,75.7821
rsi2_cash,33.5517
d_cash_P,4066.41
d_cash_R1,4089.99
d_cash_S1,4032.2
d_cash_R2,4124.2
d_cash_S2,4008.62
d_cash_R3,4147.78
d_cash_S3,3974.41
w_full_period,2026-W28
w_full_P,4114.5633
w_full_R1,4207.3767
w_full_S1,4026.4167
w_full_R2,4295.5233
w_full_S2,3933.6033
w_full_R3,4388.3367
w_full_S3,3845.4567
w_cash_period,2026-W28
w_cash_P,4103.59
w_cash_R1,4185.43
w_cash_S1,4026.66
w_cash_R2,4262.36
w_cash_S2,3944.82
w_cash_R3,4344.2
w_cash_S3,3867.89
m_full_period,2026-06
m_full_P,4165.5133
m_full_R1,4387.9467
m_full_S1,3785.1567
m_full_R2,4768.3033
m_full_S2,3562.7233
m_full_R3,4990.7367
m_full_S3,3182.3667
m_cash_period,2026-06
m_cash_P,4163.5933
m_cash_R1,4368.0567
m_cash_S1,3811.7467
m_cash_R2,4719.9033
m_cash_S2,3607.2833
m_cash_R3,4924.3667
m_cash_S3,3255.4367
swing_high_5d_full,4138.09
swing_low_5d_full,3983.65
swing_high_25d_full,4382.22
swing_low_25d_full,3943.08
swing_high_5d_cash,4138.09
swing_low_5d_cash,3986.64
swing_high_25d_cash,4382.22
swing_low_25d_cash,3959.13
