asset,XAUUSD
date,2026-06-02
n_prior_sessions,43
last_bar_date,2026-06-01
prev_close_full,4484.78
prev_open_full,4521.93
prev_high_full,4545.87
prev_low_full,4447.71
atr14_full,99.9643
rsi2_full,44.507
d_full_P,4492.7867
d_full_R1,4537.8633
d_full_S1,4439.7033
d_full_R2,4590.9467
d_full_S2,4394.6267
d_full_R3,4636.0233
d_full_S3,4341.5433
prev_open_cash,4465.36
prev_high_cash,4495.44
prev_low_cash,4447.71
prev_close_cash,4481.2
atr14_cash,81.7414
rsi2_cash,42.5103
d_cash_P,4474.7833
d_cash_R1,4501.8567
d_cash_S1,4454.1267
d_cash_R2,4522.5133
d_cash_S2,4427.0533
d_cash_R3,4549.5867
d_cash_S3,4406.3967
w_full_period,2026-W22
w_full_P,4500.5167
w_full_R1,4634.6833
w_full_S1,4405.8233
w_full_R2,4729.3767
w_full_S2,4271.6567
w_full_R3,4863.5433
w_full_S3,4176.9633
w_cash_period,2026-W22
w_cash_P,4515.1967
w_cash_R1,4625.6133
w_cash_S1,4435.1833
w_cash_R2,4705.6267
w_cash_S2,4324.7667
w_cash_R3,4816.0433
w_cash_S3,4244.7533
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4595.21
swing_low_5d_full,4366.35
swing_high_25d_full,4773.37
swing_low_25d_full,4366.35
swing_high_5d_cash,4595.21
swing_low_5d_cash,4404.78
swing_high_25d_cash,4764.75
swing_low_25d_cash,4404.78
