asset,XAUUSD
date,2026-06-26
n_prior_sessions,61
last_bar_date,2026-06-25
prev_close_full,4026.65
prev_open_full,4006.44
prev_high_full,4044.29
prev_low_full,3963.2
atr14_full,120.65
rsi2_full,19.84
d_full_P,4011.38
d_full_R1,4059.56
d_full_S1,3978.47
d_full_R2,4092.47
d_full_S2,3930.29
d_full_R3,4140.65
d_full_S3,3897.38
prev_open_cash,4022.24
prev_high_cash,4044.29
prev_low_cash,3999.17
prev_close_cash,4026.75
atr14_cash,100.7236
rsi2_cash,23.7724
d_cash_P,4023.4033
d_cash_R1,4047.6367
d_cash_S1,4002.5167
d_cash_R2,4068.5233
d_cash_S2,3978.2833
d_cash_R3,4092.7567
d_cash_S3,3957.3967
w_full_period,2026-W25
w_full_P,4219.9633
w_full_R1,4318.0267
w_full_S1,4057.7067
w_full_R2,4480.2833
w_full_S2,3959.6433
w_full_R3,4578.3467
w_full_S3,3797.3867
w_cash_period,2026-W25
w_cash_P,4226.8667
w_cash_R1,4311.1233
w_cash_S1,4071.5133
w_cash_R2,4466.4767
w_cash_S2,3987.2567
w_cash_R3,4550.7333
w_cash_S3,3831.9033
m_full_period,2026-05
m_full_P,4559.9033
m_full_R1,4753.4567
m_full_S1,4346.4367
m_full_R2,4966.9233
m_full_S2,4152.8833
m_full_R3,5160.4767
m_full_S3,3939.4167
m_cash_period,2026-05
m_cash_P,4571.71
m_cash_R1,4738.64
m_cash_S1,4378.67
m_cash_R2,4931.68
m_cash_S2,4211.74
m_cash_R3,5098.61
m_cash_S3,4018.7
swing_high_5d_full,4220.62
swing_low_5d_full,3959.13
swing_high_25d_full,4595.21
swing_low_25d_full,3959.13
swing_high_5d_cash,4210.71
swing_low_5d_cash,3959.13
swing_high_25d_cash,4595.21
swing_low_25d_cash,3959.13
